GENESIS-Tabelle: 31231-0003;;;;;;;;;;;;;;;;
Wohngebäude, Wohnungen, Wohnfläche: Bundesländer, Stichtag,;;;;;;;;;;;;;;;;
Anzahl der Wohnungen;;;;;;;;;;;;;;;;
Fortschreibung Wohngebäude- und Wohnungsbestand;;;;;;;;;;;;;;;;
;;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden
;;1 Wohnung;1 Wohnung;1 Wohnung;2 Wohnungen;2 Wohnungen;2 Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;Wohnheime;Wohnheime;Wohnheime;Insgesamt;Insgesamt;Insgesamt
;;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche
Stichtag;Bundesland;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm
31.12.1997;Hamburg;121197;121197;12921;25273;50546;4154;74697;658042;41527;-;-;-;221167;829785;58603
31.12.1997;Hessen;714563;714563;89363;303584;607168;55460;198273;1271710;87777;-;-;-;1216420;2593441;232600
31.12.1997;Mecklenburg-Vorpommern;208045;208045;20855;41052;82104;6188;65074;507633;29110;-;-;-;314171;797782;56152
31.12.1997;Niedersachsen;1258199;1258199;152444;339472;678944;61393;229809;1403458;95342;-;-;-;1827480;3340601;309179
31.12.1997;Nordrhein-Westfalen;1870762;1870762;223097;692504;1385008;118090;745638;4517726;302450;-;-;-;3308904;7773496;643636
31.12.1997;Rheinland-Pfalz;694193;694193;83849;205741;411482;37087;108592;612062;43629;-;-;-;1008526;1717737;164563
31.12.1997;Saarland;176995;176995;21716;77666;155332;13710;26798;141345;9972;-;-;-;281459;473672;45397
31.12.1997;Sachsen;359208;359208;34866;149398;298796;21337;211360;1571195;93977;-;-;-;719966;2229199;150179
31.12.1997;Sachsen-Anhalt;331265;331265;33157;84131;168262;12774;105249;758815;44650;-;-;-;520645;1258342;90580
31.12.1997;Schleswig-Holstein;489824;489824;54195;87002;174004;14897;81524;575340;36073;-;-;-;658350;1239168;105164
31.12.1997;Thüringen;281500;281500;29197;109166;218332;16540;87549;611307;36661;-;-;-;478215;1111139;82397
31.12.1997;Insgesamt;9931167;9931167;1166784;3292679;6585358;572200;2913483;19814323;1304221;-;-;-;16137329;36330848;3043199
31.12.1998;Baden-Württemberg;1204322;1204322;146199;529788;1059576;95923;378515;2226706;160199;-;-;-;2112625;4490604;402319
31.12.1998;Bayern;1714664;1714664;215066;549933;1099866;100158;349310;2499040;166897;-;-;-;2613907;5313570;482121
31.12.1998;Berlin;128079;128079;13820;20232;40464;3536;140756;1658371;108711;-;-;-;289067;1826914;126066
31.12.1998;Brandenburg;359031;359031;36016;72923;145846;11174;88766;668551;39459;-;-;-;520720;1173428;86648
31.12.1998;Bremen;73614;73614;7789;20245;40490;3235;33157;224502;14515;-;-;-;127016;338606;25539
31.12.1998;Hamburg;122137;122137;13052;25509;51018;4203;75182;664217;41941;-;-;-;222828;837372;59196
31.12.1998;Hessen;719988;719988;90277;306687;613374;56217;201282;1292022;89341;-;-;-;1227957;2625384;235835
31.12.1998;Mecklenburg-Vorpommern;214431;214431;21600;41938;83876;6336;65748;514339;29512;-;-;-;322117;812646;57448
31.12.1998;Niedersachsen;1278471;1278471;155417;344459;688918;62499;231964;1417852;96368;-;-;-;1854894;3385241;314283
31.12.1998;Nordrhein-Westfalen;1894149;1894149;226311;699141;1398282;119568;751872;4564829;305932;-;-;-;3345162;7857260;651811
31.12.1998;Rheinland-Pfalz;700813;700813;84905;208562;417124;37721;110301;622314;44436;-;-;-;1019676;1740252;167061
31.12.1998;Saarland;178049;178049;21900;78310;156620;13859;27193;143849;10164;-;-;-;283552;478518;45924
31.12.1998;Sachsen;367219;367219;35883;151399;302798;21696;212935;1590760;95241;-;-;-;731553;2260777;152820
31.12.1998;Sachsen-Anhalt;338015;338015;33985;84880;169760;12908;105939;765700;45124;-;-;-;528834;1273475;92016
31.12.1998;Schleswig-Holstein;497422;497422;55191;88374;176748;15168;82517;584189;36694;-;-;-;668313;1258359;107051
31.12.1998;Thüringen;286296;286296;29838;110144;220288;16729;88228;617617;37096;-;-;-;484668;1124201;83663
31.12.1998;Insgesamt;10076700;10076700;1187253;3332524;6665048;580933;2943667;20054916;1321636;-;-;-;16352891;36796664;3089809
31.12.1999;Baden-Württemberg;1221500;1221500;148804;534605;1069210;97071;382731;2254042;162369;-;-;-;2138836;4544752;408243
31.12.1999;Bayern;1739481;1739481;218788;557910;1115820;101947;353669;2529633;169223;-;-;-;2651060;5384934;489958
31.12.1999;Berlin;131141;131141;14186;20534;41068;3596;141265;1666553;109370;-;-;-;292940;1838762;127152
31.12.1999;Brandenburg;372134;372134;37596;74676;149352;11487;89593;674984;39953;-;-;-;536403;1196470;89035
31.12.1999;Bremen;74269;74269;7873;20298;40596;3246;33274;225884;14608;-;-;-;127841;340749;25727
