GENESIS-Tabelle: 44151-0001;;;;;;;
Besch‰ftigte, Umsatz im Bauhauptgewerbe (Messzahlen und;;;;;;;
Ver‰nderungsraten): Deutschland, Monate, Wirtschaftszweige;;;;;;;
Konjunkturstatistik im Bauhauptgewerbe;;;;;;;
Deutschland;;;;;;;
;;;;Besch‰ftigte;Ver‰nderung zum Vorjahresmon.;Umsatz;Ver‰nderung zum Vorjahres
Key Wirtschaftszweig;Wirtschaftszweig;Jahr;Monat;2010=100;in (%);2010=100;in (%)
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;Februar;93,7;.;36,5;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;M‰rz;96,2;.;68,7;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;April;100,1;.;90,9;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;Mai;101;.;98,5;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;Juni;101,7;.;117,7;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;Juli;101,7;.;123,2;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;August;102,9;.;118,5;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;September;103,5;.;128,3;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;Oktober;103,1;.;132,4;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;November;102,8;.;132,4;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;Dezember;99;.;117,1;.
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;Januar;94,5;0,2;41,5;15,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;Februar;94,6;1;51,6;41,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;M‰rz;98;1,9;86;25,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;April;100,4;0,3;96,8;6,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;Mai;101,2;0,2;125,1;27
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;Juni;101,6;-0,1;115,1;-2,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;Juli;101,7;-;121,5;-1,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;August;103,7;0,8;126,1;6,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;September;103,7;0,2;134,1;4,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;Oktober;103,3;0,2;132,9;0,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;November;102,8;-;144,5;9,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2011;Dezember;99,3;0,3;136,5;16,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;Januar;94,7;0,2;48,9;17,8
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;Februar;94,3;-0,3;45,7;-11,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;M‰rz;97;-1;72,9;-15,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;April;99,6;-0,8;90,1;-6,9
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;Mai;100,3;-0,9;108,6;-13,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;Juni;100,7;-0,9;119,5;3,8
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;Juli;100,7;-1;123,6;1,7
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;August;102;-1,6;128,4;1,8
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;September;102,3;-1,4;128,1;-4,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;Oktober;102,3;-1;137,2;3,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;November;101,8;-1;135,8;-6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2012;Dezember;98,5;-0,8;113,1;-17,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;Januar;95,4;0,7;42,5;-13,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;Februar;95;0,7;43;-5,9
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;M‰rz;96,5;-0,5;58,1;-20,3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;April;99,5;-0,1;90,5;0,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;Mai;100,3;-;103;-5,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;Juni;100,9;0,2;119,2;-0,3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;Juli;101,5;0,8;137,9;11,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;August;102,4;0,4;128;-0,3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;September;102,7;0,4;131;2,3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;Oktober;102,2;-0,1;142,1;3,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;November;101,4;-0,4;139,2;2,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2013;Dezember;97,7;-0,8;132;16,7
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;Januar;94,3;-1,2;48,9;15,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;Februar;94,3;-0,7;55,7;29,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;M‰rz;97;0,5;83;42,9
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;April;99;-0,5;104,4;15,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;Mai;99,6;-0,7;114,2;10,9
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;Juni;100,2;-0,7;119;-0,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;Juli;100,7;-0,8;135,6;-1,7
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;August;101,5;-0,9;125,7;-1,8
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;September;102,2;-0,5;138,5;5,7
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;Oktober;102,2;-;145,6;2,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;November;101,5;0,1;141;1,3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2014;Dezember;98,1;0,4;138;4,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;Januar;95,2;1;53,7;9,8
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;Februar;94,8;0,5;54;-3,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;M‰rz;97,1;0,1;85,5;3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;April;99,5;0,5;100,7;-3,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;Mai;100,1;0,5;107,9;-5,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;Juni;100,7;0,5;127,4;7,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;Juli;101,3;0,6;143,6;5,9
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;August;101,7;0,2;130;3,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;September;102,3;0,1;142,6;3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;Oktober;102,3;0,1;146,1;0,3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;November;100,9;-0,6;146;3,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2015;Dezember;99;0,9;151;9,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;Januar;95,9;0,7;48,6;-9,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;Februar;96;1,3;61,1;13,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;M‰rz;98,3;1,2;86,5;1,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;April;100,5;1;110;9,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;Mai;100,9;0,8;118,9;10,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;Juni;101,4;0,7;140,3;10,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;Juli;101,6;0,3;141,6;-1,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;August;103;1,3;147,3;13,3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;September;103,7;1,4;157,1;10,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;Oktober;103,7;1,4;154,1;5,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;November;103,4;2,5;159,7;9,4
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2016;Dezember;100,6;1,6;160,9;6,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;Januar;97,2;1,4;57,1;17,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;Februar;97,3;1,4;59,5;-2,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;M‰rz;100,4;2,1;101,7;17,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;April;102,7;2,2;111,7;1,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;Mai;103,4;2,5;136,1;14,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;Juni;103,9;2,5;146,1;4,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;Juli;104,6;3;150;5,9
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;August;105,9;2,8;153,5;4,2
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;September;106,4;2,6;154,5;-1,7
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;Oktober;106,7;2,9;154,5;0,3
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;November;106,6;3,1;171,8;7,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2017;Dezember;103,7;3,1;156,8;-2,5
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;Januar;101,8;4,7;59,3;3,9
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;Februar;101,3;4,1;67,3;13,1
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;M‰rz;104;3,6;96,7;-4,9
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;April;106,7;3,9;128,1;14,7
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;Mai;107,3;3,8;146,4;7,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;Juni;108,2;4,1;166;13,6
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;Juli;109,1;4,3;179,7;19,8
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;August;110,5;4,3;174,7;13,8
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;September;...;...;...;...
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;Oktober;...;...;...;...
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;November;...;...;...;...
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2018;Dezember;...;...;...;...
WZ08-4211;Bau von Straﬂen;2010;Januar;93,4;.;31,6;.
WZ08-4211;Bau von Straﬂen;2010;Februar;92,4;.;30;.
WZ08-4211;Bau von Straﬂen;2010;M‰rz;95,3;.;61,9;.
WZ08-4211;Bau von Straﬂen;2010;April;100,4;.;90,9;.
WZ08-4211;Bau von Straﬂen;2010;Mai;101,5;.;101,4;.
WZ08-4211;Bau von Straﬂen;2010;Juni;102,2;.;122,9;.
WZ08-4211;Bau von Straﬂen;2010;Juli;102,1;.;129,1;.
WZ08-4211;Bau von Straﬂen;2010;August;103,5;.;124,8;.
WZ08-4211;Bau von Straﬂen;2010;September;104;.;132,1;.
WZ08-4211;Bau von Straﬂen;2010;Oktober;103,6;.;139,3;.
WZ08-4211;Bau von Straﬂen;2010;November;103,2;.;135;.
WZ08-4211;Bau von Straﬂen;2010;Dezember;98,5;.;101,1;.
WZ08-4211;Bau von Straﬂen;2011;Januar;93,2;-0,2;37,4;18,4
WZ08-4211;Bau von Straﬂen;2011;Februar;93,3;1;46,5;55
WZ08-4211;Bau von Straﬂen;2011;M‰rz;97,7;2,5;82,8;33,8
WZ08-4211;Bau von Straﬂen;2011;April;100,6;0,2;98,6;8,5
WZ08-4211;Bau von Straﬂen;2011;Mai;101,6;0,1;129,2;27,4
WZ08-4211;Bau von Straﬂen;2011;Juni;102;-0,2;117,7;-4,2
WZ08-4211;Bau von Straﬂen;2011;Juli;102,4;0,3;127,4;-1,3
WZ08-4211;Bau von Straﬂen;2011;August;104,2;0,7;132,1;5,8
WZ08-4211;Bau von Straﬂen;2011;September;104;-;141,3;7
WZ08-4211;Bau von Straﬂen;2011;Oktober;103,9;0,3;137,3;-1,4
WZ08-4211;Bau von Straﬂen;2011;November;103,3;0,1;147,5;9,3
WZ08-4211;Bau von Straﬂen;2011;Dezember;99,1;0,6;133,1;31,7
WZ08-4211;Bau von Straﬂen;2012;Januar;94,4;1,3;46,1;23,3
WZ08-4211;Bau von Straﬂen;2012;Februar;93,8;0,5;42;-9,7
WZ08-4211;Bau von Straﬂen;2012;M‰rz;97,1;-0,6;72,5;-12,4
WZ08-4211;Bau von Straﬂen;2012;April;100,5;-0,1;92;-6,7
WZ08-4211;Bau von Straﬂen;2012;Mai;101,5;-0,1;114,1;-11,7
WZ08-4211;Bau von Straﬂen;2012;Juni;102;-;121,2;3
WZ08-4211;Bau von Straﬂen;2012;Juli;101,9;-0,5;132,7;4,2
WZ08-4211;Bau von Straﬂen;2012;August;103,5;-0,7;134,5;1,8
WZ08-4211;Bau von Straﬂen;2012;September;103,7;-0,3;134,2;-5
WZ08-4211;Bau von Straﬂen;2012;Oktober;103,9;-;146,2;6,5
WZ08-4211;Bau von Straﬂen;2012;November;103,3;-;141,6;-4
WZ08-4211;Bau von Straﬂen;2012;Dezember;99,3;0,2;103,8;-22
WZ08-4211;Bau von Straﬂen;2013;Januar;95,5;1,2;38,2;-17,1
WZ08-4211;Bau von Straﬂen;2013;Februar;95,1;1,4;37,6;-10,5
WZ08-4211;Bau von Straﬂen;2013;M‰rz;96,9;-0,2;53,9;-25,7
WZ08-4211;Bau von Straﬂen;2013;April;100,7;0,2;94,1;2,3
WZ08-4211;Bau von Straﬂen;2013;Mai;101,7;0,2;109,8;-3,8
WZ08-4211;Bau von Straﬂen;2013;Juni;102,4;0,4;126,3;4,2
WZ08-4211;Bau von Straﬂen;2013;Juli;103,1;1,2;149,4;12,6
WZ08-4211;Bau von Straﬂen;2013;August;104,2;0,7;139;3,3
WZ08-4211;Bau von Straﬂen;2013;September;104,6;0,9;143,9;7,2
WZ08-4211;Bau von Straﬂen;2013;Oktober;104,1;0,2;154,8;5,9
WZ08-4211;Bau von Straﬂen;2013;November;103,4;0,1;145,6;2,8
WZ08-4211;Bau von Straﬂen;2013;Dezember;99,6;0,3;130,9;26,1
WZ08-4211;Bau von Straﬂen;2014;Januar;95,4;-0,1;49,3;29,1
WZ08-4211;Bau von Straﬂen;2014;Februar;95,7;0,6;56,4;50
WZ08-4211;Bau von Straﬂen;2014;M‰rz;99,1;2,3;85,6;58,8
WZ08-4211;Bau von Straﬂen;2014;April;101,3;0,6;110,5;17,4
WZ08-4211;Bau von Straﬂen;2014;Mai;102;0,3;126,2;14,9
WZ08-4211;Bau von Straﬂen;2014;Juni;102,8;0,4;132,7;5,1
WZ08-4211;Bau von Straﬂen;2014;Juli;103,1;-;150,3;0,6
WZ08-4211;Bau von Straﬂen;2014;August;103,9;-0,3;139;-
WZ08-4211;Bau von Straﬂen;2014;September;104,6;-;155,2;7,9
WZ08-4211;Bau von Straﬂen;2014;Oktober;104,7;0,6;163,8;5,8
WZ08-4211;Bau von Straﬂen;2014;November;104;0,6;155,5;6,8
WZ08-4211;Bau von Straﬂen;2014;Dezember;100,1;0,5;148,1;13,1
WZ08-4211;Bau von Straﬂen;2015;Januar;96,6;1,3;53,9;9,3
WZ08-4211;Bau von Straﬂen;2015;Februar;96,1;0,4;53,8;-4,6
WZ08-4211;Bau von Straﬂen;2015;M‰rz;98,8;-0,3;91,2;6,5
WZ08-4211;Bau von Straﬂen;2015;April;101,9;0,6;113,6;2,8
WZ08-4211;Bau von Straﬂen;2015;Mai;102,5;0,5;123,2;-2,4
WZ08-4211;Bau von Straﬂen;2015;Juni;103,2;0,4;148,7;12,1
WZ08-4211;Bau von Straﬂen;2015;Juli;103,4;0,3;166,7;10,9
WZ08-4211;Bau von Straﬂen;2015;August;104,1;0,2;150,5;8,3
WZ08-4211;Bau von Straﬂen;2015;September;104,7;0,1;167,5;7,9
WZ08-4211;Bau von Straﬂen;2015;Oktober;104,5;-0,2;174,1;6,3
WZ08-4211;Bau von Straﬂen;2015;November;103;-1;173,2;11,4
WZ08-4211;Bau von Straﬂen;2015;Dezember;100,7;0,6;158,2;6,8
WZ08-4211;Bau von Straﬂen;2016;Januar;97,4;0,8;48,9;-9,3
WZ08-4211;Bau von Straﬂen;2016;Februar;97,4;1,4;63,7;18,4
WZ08-4211;Bau von Straﬂen;2016;M‰rz;100,1;1,3;94,3;3,4
WZ08-4211;Bau von Straﬂen;2016;April;103;1,1;121,6;7
WZ08-4211;Bau von Straﬂen;2016;Mai;103,6;1,1;136,6;10,9
WZ08-4211;Bau von Straﬂen;2016;Juni;104,3;1,1;155,9;4,8
WZ08-4211;Bau von Straﬂen;2016;Juli;104,7;1,3;163,1;-2,2
WZ08-4211;Bau von Straﬂen;2016;August;106,3;2,1;169,2;12,4
WZ08-4211;Bau von Straﬂen;2016;September;107;2,2;185,7;10,9
WZ08-4211;Bau von Straﬂen;2016;Oktober;107,1;2,5;175,5;0,8
WZ08-4211;Bau von Straﬂen;2016;November;106,8;3,7;182;5,1
WZ08-4211;Bau von Straﬂen;2016;Dezember;103,5;2,8;173;9,4
WZ08-4211;Bau von Straﬂen;2017;Januar;99,4;2,1;56,5;15,5
WZ08-4211;Bau von Straﬂen;2017;Februar;99,5;2,2;59,8;-6,1
WZ08-4211;Bau von Straﬂen;2017;M‰rz;103,5;3,4;111,4;18,1
WZ08-4211;Bau von Straﬂen;2017;April;106,1;3;124;2
WZ08-4211;Bau von Straﬂen;2017;Mai;107,1;3,4;153,2;12,2
WZ08-4211;Bau von Straﬂen;2017;Juni;107,7;3,3;165,5;6,2
WZ08-4211;Bau von Straﬂen;2017;Juli;108,4;3,5;169,2;3,7
WZ08-4211;Bau von Straﬂen;2017;August;109,8;3,3;175,1;3,5
WZ08-4211;Bau von Straﬂen;2017;September;110,5;3,3;177,3;-4,5
WZ08-4211;Bau von Straﬂen;2017;Oktober;110,7;3,4;176,6;0,6
WZ08-4211;Bau von Straﬂen;2017;November;110,7;3,7;192,6;5,8
WZ08-4211;Bau von Straﬂen;2017;Dezember;107,3;3,7;163,8;-5,3
WZ08-4211;Bau von Straﬂen;2018;Januar;104,3;4,9;58,8;4,1
WZ08-4211;Bau von Straﬂen;2018;Februar;103,7;4,2;67,8;13,4
WZ08-4211;Bau von Straﬂen;2018;M‰rz;107;3,4;100,5;-9,8
WZ08-4211;Bau von Straﬂen;2018;April;110,3;4;136,7;10,2
WZ08-4211;Bau von Straﬂen;2018;Mai;111,1;3,7;158,7;3,6
WZ08-4211;Bau von Straﬂen;2018;Juni;112,1;4,1;180,4;9
WZ08-4211;Bau von Straﬂen;2018;Juli;113;4,2;193,7;14,5
WZ08-4211;Bau von Straﬂen;2018;August;114,6;4,4;189,5;8,2
WZ08-4211;Bau von Straﬂen;2018;September;...;...;...;...
WZ08-4211;Bau von Straﬂen;2018;Oktober;...;...;...;...
WZ08-4211;Bau von Straﬂen;2018;November;...;...;...;...
WZ08-4211;Bau von Straﬂen;2018;Dezember;...;...;...;...
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;Januar;94,6;.;41,5;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;Februar;93,5;.;40,5;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;M‰rz;96,6;.;67,8;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;April;99,8;.;89,9;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;Mai;100,7;.;96,9;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;Juni;101,3;.;114,5;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;Juli;101,7;.;119;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;August;102,6;.;112,6;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;September;103,3;.;118,6;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;Oktober;103,1;.;127,6;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;November;102,8;.;143,3;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2010;Dezember;100;.;127,9;.
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;Januar;96,2;1,7;47,8;15,2
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;Februar;96;2,7;56;38,3
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;M‰rz;99,5;3;85,4;26
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;April;101;1,2;91,1;1,3
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;Mai;101,5;0,8;115,6;19,3
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;Juni;101,9;0,6;109,9;-4
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;Juli;102,2;0,5;118,5;-0,4
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;August;103,1;0,5;114,7;1,9
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;September;103,5;0,2;121,5;2,4
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;Oktober;103,2;0,1;123,1;-3,5
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;November;102,8;-;144,3;0,7
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2011;Dezember;100,7;0,7;152,1;18,9
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;Januar;97,4;1,2;60,8;27,2
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;Februar;96,7;0,7;50,2;-10,4
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;M‰rz;99,2;-0,3;82,1;-3,9
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;April;100,4;-0,6;92,2;1,2
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;Mai;100,9;-0,6;104,1;-9,9
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;Juni;101,4;-0,5;109,2;-0,6
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;Juli;101,8;-0,4;119,9;1,2
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;August;102,5;-0,6;114,5;-0,2
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;September;102,6;-0,9;114,6;-5,7
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;Oktober;102,4;-0,8;121,7;-1,1
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;November;102,1;-0,7;135;-6,4
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2012;Dezember;99,8;-0,9;122,4;-19,5
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;Januar;96,7;-0,7;49,3;-18,9
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;Februar;96,3;-0,4;44,2;-12
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;M‰rz;97,8;-1,4;63,9;-22,2
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;April;100,4;-;83;-10
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;Mai;101,1;0,2;90,3;-13,3
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;Juni;101,2;-0,2;105,9;-3
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;Juli;101,7;-0,1;113,5;-5,3
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;August;102,4;-0,1;107,5;-6,1
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;September;102,7;0,1;113,6;-0,9
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;Oktober;102,6;0,2;120,4;-1,1
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;November;102,1;-;131,8;-2,4
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2013;Dezember;99,5;-0,3;146,5;19,7
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;Januar;96,6;-0,1;59,4;20,5
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;Februar;96,5;0,2;62,8;42,1
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;M‰rz;98,9;1,1;86,6;35,5
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;April;100;-0,4;95;14,5
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;Mai;100,4;-0,7;100,7;11,5
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;Juni;101,3;0,1;103,6;-2,2
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;Juli;101,7;-;119;4,8
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;August;102,1;-0,3;104,6;-2,7
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;September;103,1;0,4;118,8;4,6
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;Oktober;103;0,4;123,3;2,4
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;November;102,3;0,2;140,5;6,6
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2014;Dezember;99,9;0,4;154,3;5,3
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2015;Januar;97,3;0,7;61;2,7
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2015;Februar;97,1;0,6;66,7;6,2
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2015;M‰rz;99,7;0,8;98,9;14,2
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2015;April;101,2;1,2;105,9;11,5
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2015;Mai;101,7;1,3;111,7;10,9
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2015;Juni;102,1;0,8;132,9;28,3
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2015;Juli;102,5;0,8;140;17,6
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2015;August;103,4;1,3;128,4;22,8
WZ08-422;Leitungstiefbau und Kl‰ranlagenbau;2015;September;103,8;0,7;140;17,8
